,_links,age_classification,age_scale,archive,attributes,bif_ampl_local,bif_ampl_remote,brain_region,branch_order,cell_type,contraction,corrected_value,corrected_xy,corrected_z,deposition_date,depth,diameter,domain,eucdistance,experiment_condition,fractal_dim,fragmentation,gender,height,length,magnification,max_age,max_weight,min_age,min_weight,n_bifs,n_branch,n_stems,neuron_id,neuron_name,note,objective_type,original_format,partition_asymmetry,pathdistance,physical_Integrity,pk_classic,png_url,protocol,reconstruction_software,reference_doi,reference_pmid,reported_value,reported_xy,reported_z,scientific_name,shrinkage_corrected,shrinkage_reported,slicing_direction,slicing_thickness,soma_surface,species,stain,strain,surface,upload_date,volume,width
0,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102399'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102399'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102399'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",86.7671,72.436,"['neocortex', 'occipital', 'middle temporal gyrus']",5.0,"['interneuron', 'Aspiny']",0.890903,,,,2018-10-10,50.61,0.529704,"Dendrites, Soma, Axon",465.725,['Control'],1.03135,1495.0,Female,613.34,1674.33,63,38.0,Not Reported,38.0,Not Reported,15.0,33.0,3.0,102399,H17-03-010-11-13-01_656411100_m,,oil,Vaa3D.swc,0.594286,503.237,"Dendrites Complete, Axon Incomplete",2.0,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H17-03-010-11-13-01_656411100_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2016.10.019'],['27810003'],,,,,Not Corrected,Not Reported,coronal,350,332.975,human,biocytin,Not applicable,2791.48,2018-11-27,487.836,105.3
1,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102400'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102400'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102400'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",66.7517,58.0037,"['neocortex', 'occipital', 'middle temporal gyrus']",12.0,"['principal cell', 'Spiny']",0.923756,,,,2018-10-10,132.98,0.654633,"Dendrites, Soma, Axon",1115.58,['Control'],1.01848,10448.0,Female,994.98,13121.3,63,38.0,Not Reported,38.0,Not Reported,69.0,148.0,10.0,102400,H17-03-010-11-13-06_651089035_m,,oil,Vaa3D.swc,0.477612,1163.65,"Dendrites Complete, Axon Incomplete",2.0,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H17-03-010-11-13-06_651089035_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2016.10.019'],['27810003'],,,,,Not Corrected,Not Reported,coronal,350,911.212,human,biocytin,Not applicable,28371.6,2018-11-27,6418.63,759.3
2,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102401'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102401'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102401'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",81.8977,59.3831,"['neocortex', 'occipital', 'middle temporal gyrus']",16.0,"['principal cell', 'Spiny']",0.867798,,,,2018-10-10,119.91,0.481972,"Dendrites, Soma, Axon",889.72,['Control'],1.04088,17989.0,Male,959.751,21365.4,63,30.0,Not Reported,30.0,Not Reported,105.0,218.0,8.0,102401,H17-03-011-11-04-05_650978964_m,,oil,Vaa3D.swc,0.421518,1215.1,Dendrites & Axon Moderate,2.0,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H17-03-011-11-04-05_650978964_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2016.10.019'],['27810003'],,,,,Not Corrected,Not Reported,coronal,350,576.503,human,biocytin,Not applicable,32648.5,2018-11-27,5310.81,813.359
3,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102402'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102402'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102402'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",76.0679,77.0152,"['neocortex', 'occipital', 'middle temporal gyrus']",20.0,"['principal cell', 'Spiny']",0.890038,,,,2018-10-10,163.94,0.339865,"Dendrites, Soma, Axon",717.428,['Control'],1.02556,17156.0,Male,1071.13,20480.7,63,30.0,Not Reported,30.0,Not Reported,120.0,245.0,5.0,102402,H17-03-011-11-09-04_648981937_m,,oil,Vaa3D.swc,0.630371,1311.27,Dendrites & Axon Moderate,1.99076,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H17-03-011-11-09-04_648981937_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2016.10.019'],['27810003'],,,,,Not Corrected,Not Reported,coronal,350,633.604,human,biocytin,Not applicable,22077.4,2018-11-27,2635.9,852.78
4,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102403'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102403'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102403'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",88.404,83.7322,"['neocortex', 'occipital', 'middle temporal gyrus']",26.0,"['interneuron', 'Aspiny']",0.894317,,,,2018-10-10,190.85,0.276408,"Dendrites, Soma, Axon",716.795,['Control'],1.02919,29538.0,Male,914.039,34251.3,63,38.0,Not Reported,38.0,Not Reported,193.0,393.0,7.0,102403,H17-06-005-12-15-01_605485782_m,,oil,Vaa3D.swc,0.507338,1478.07,Dendrites & Axon Complete,2.01255,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H17-06-005-12-15-01_605485782_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2016.10.019'],['27810003'],,,,,Not Corrected,Not Reported,coronal,350,475.183,human,biocytin,Not applicable,29832.5,2018-11-27,2650.34,807.692
5,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102404'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102404'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102404'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",86.1139,84.546,"['neocortex', 'occipital', 'middle temporal gyrus']",17.0,"['principal cell', 'Spiny']",0.871242,,,,2018-10-10,169.73,0.351735,"Dendrites, Soma, Axon",798.206,['Control'],1.03747,17244.0,Male,1226.88,19985.7,63,38.0,Not Reported,38.0,Not Reported,95.0,197.0,7.0,102404,H17-06-005-12-15-04_603515551_m,,oil,Vaa3D.swc,0.504432,1882.98,Dendrites & Axon Moderate,1.94917,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H17-06-005-12-15-04_603515551_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2016.10.019'],['27810003'],,,,,Not Corrected,Not Reported,coronal,350,709.621,human,biocytin,Not applicable,22286.7,2018-11-27,3001.7,537.62
6,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102405'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102405'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102405'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",79.6485,75.0688,"['neocortex', 'occipital', 'middle temporal gyrus']",17.0,"['interneuron', 'Aspiny']",0.919917,,,,2018-10-10,161.87,0.287198,"Dendrites, Soma, Axon",716.434,['Control'],1.02068,26628.0,Male,972.571,31167.8,63,23.0,Not Reported,23.0,Not Reported,154.0,313.0,5.0,102405,H17-06-012-14-08-05_649667451_m,,oil,Vaa3D.swc,0.526492,1304.67,Dendrites & Axon Complete,2.0,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H17-06-012-14-08-05_649667451_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2016.10.019'],['27810003'],,,,,Not Corrected,Not Reported,coronal,350,938.463,human,biocytin,Not applicable,28017.8,2018-11-27,2500.6,810.04
7,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102557'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102557'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102557'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",87.6486,75.2868,"['neocortex', 'occipital', 'primary visual', 'layer 2-3', 'right']",10.0,"['principal cell', 'Spiny']",0.87281,,,,2019-02-02,110.86,0.485241,"Dendrites, Soma, Axon",776.353,['Control'],1.03483,13920.0,Male,655.044,16003.9,63,27.0,Not Reported,27.0,Not Reported,84.0,174.0,6.0,102557,H16-03-005-01-04-03_697383950_m,,oil,Vaa3D.swc,0.468314,1155.38,"Dendrites Complete, Axon Incomplete",1.92952,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-03-005-01-04-03_697383950_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,598.935,human,biocytin,Not applicable,24480.3,2019-04-08,4434.98,759.072
8,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102558'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102558'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102558'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",83.0305,77.9974,"['neocortex', 'occipital', 'primary visual', 'layer 2-3', 'right']",12.0,"['principal cell', 'Spiny']",0.84913,,,,2019-02-02,94.15,0.444254,"Dendrites, Soma, Axon",1006.29,['Control'],1.03901,13145.0,Male,1101.63,15750.1,63,27.0,Not Reported,27.0,Not Reported,79.0,164.0,6.0,102558,H16-03-005-01-06-01_694328860_m,,oil,Vaa3D.swc,0.390941,1620.44,"Dendrites Complete, Axon Incomplete",1.97023,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-03-005-01-06-01_694328860_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,508.061,human,biocytin,Not applicable,22273.0,2019-04-08,3594.73,714.082
9,"{'self': {'href': 'http://neuromorpho.org/api/neuron/id/102559'}, 'persistence_vector': {'href': 'http://neuromorpho.org/api/pvec/id/102559'}, 'measurements': {'href': 'http://neuromorpho.org/api/morphometry/id/102559'}}",adult,Year,Allen Cell Types,"Diameter, 3D, Angles",78.0425,58.8843,"['neocortex', 'occipital', 'primary visual', 'layer 2-3', 'right']",17.0,"['principal cell', 'Spiny']",0.896271,,,,2019-02-02,142.51,0.515843,"Dendrites, Soma, Axon",1279.03,['Control'],1.03052,26398.0,Male,1207.65,31256.2,63,27.0,Not Reported,27.0,Not Reported,158.0,325.0,9.0,102559,H16-03-005-01-09-04_702296264_m,,oil,Vaa3D.swc,0.45511,1464.77,"Dendrites Complete, Axon Incomplete",1.97668,http://neuromorpho.org/images/imageFiles/Allen Cell Types/H16-03-005-01-09-04_702296264_m.png,in vitro,Vaa3D,['10.1016/j.neuron.2015.02.022'],['25741722'],,,,,Not Corrected,Not reported,coronal,350,758.264,human,biocytin,Not applicable,50929.6,2019-04-08,9149.29,977.579
